 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,115.000,115.000,115.000,165,392,0.000,0.000
2,0,117.000,117.000,117.000,162,564,0.000,0.000
3,0,118.000,118.000,118.000,164,690,0.000,0.000
4,0,119.000,119.000,119.000,165,638,0.000,0.000
5,0,119.000,119.000,119.000,161,387,0.000,0.000
6,0,120.000,120.000,120.000,152,580,0.000,0.000
7,0,123.000,123.000,123.000,34,516,0.000,0.000
8,0,126.000,126.000,126.000,40,682,0.000,0.000
9,0,127.000,127.000,127.000,163,409,0.000,0.000
10,0,127.000,127.000,127.000,161,295,0.000,0.000
11,0,127.000,127.000,127.000,147,212,0.000,0.000
12,0,129.000,129.000,129.000,149,352,0.000,0.000
13,0,129.000,129.000,129.000,198,295,0.000,0.000
14,0,129.000,129.000,129.000,50,280,0.000,0.000
15,0,131.000,131.000,131.000,162,270,0.000,0.000
16,0,131.000,131.000,131.000,178,194,0.000,0.000
17,0,133.000,133.000,133.000,148,292,0.000,0.000
18,0,137.000,137.000,137.000,213,260,0.000,0.000
19,0,144.000,144.000,144.000,20,272,0.000,0.000
