 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,115.000,115.000,115.000,232,305,0.000,0.000
2,0,123.000,123.000,123.000,155,511,0.000,0.000
3,0,124.000,124.000,124.000,188,321,0.000,0.000
4,0,127.000,127.000,127.000,188,301,0.000,0.000
5,0,134.000,134.000,134.000,256,206,0.000,0.000
6,0,134.000,134.000,134.000,180,141,0.000,0.000
7,0,136.000,136.000,136.000,52,263,0.000,0.000
8,0,136.000,136.000,136.000,246,186,0.000,0.000
9,0,137.000,137.000,137.000,177,224,0.000,0.000
10,0,140.000,140.000,140.000,70,262,0.000,0.000
11,0,140.000,140.000,140.000,197,183,0.000,0.000
12,0,141.000,141.000,141.000,249,91,0.000,0.000
13,0,142.000,142.000,142.000,207,102,0.000,0.000
14,0,143.000,143.000,143.000,95,145,0.000,0.000
15,0,143.000,143.000,143.000,14,142,0.000,0.000
16,0,143.000,143.000,143.000,23,117,0.000,0.000
17,0,144.000,144.000,144.000,21,171,0.000,0.000
18,0,144.000,144.000,144.000,162,60,0.000,0.000
19,0,145.000,145.000,145.000,230,132,0.000,0.000
20,0,146.000,146.000,146.000,37,218,0.000,0.000
21,0,146.000,146.000,146.000,66,100,0.000,0.000
22,0,147.000,147.000,147.000,261,97,0.000,0.000
23,0,147.000,147.000,147.000,173,75,0.000,0.000
24,0,147.000,147.000,147.000,87,63,0.000,0.000
25,0,148.000,148.000,148.000,151,129,0.000,0.000
26,0,148.000,148.000,148.000,168,97,0.000,0.000
27,0,148.000,148.000,148.000,124,80,0.000,0.000
28,0,149.000,149.000,149.000,230,102,0.000,0.000
29,0,149.000,149.000,149.000,33,82,0.000,0.000
30,0,149.000,149.000,149.000,244,58,0.000,0.000
31,0,150.000,150.000,150.000,107,109,0.000,0.000
32,0,150.000,150.000,150.000,33,94,0.000,0.000
33,0,151.000,151.000,151.000,34,102,0.000,0.000
34,0,152.000,152.000,152.000,118,70,0.000,0.000
35,0,153.000,153.000,153.000,68,117,0.000,0.000
