 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,123.000,123.000,123.000,258,329,0.000,0.000
2,0,124.000,124.000,124.000,148,365,0.000,0.000
3,0,124.000,124.000,124.000,204,295,0.000,0.000
4,0,127.000,127.000,127.000,246,222,0.000,0.000
5,0,129.000,129.000,129.000,188,298,0.000,0.000
6,0,130.000,130.000,130.000,151,229,0.000,0.000
7,0,132.000,132.000,132.000,153,175,0.000,0.000
8,0,132.000,132.000,132.000,231,156,0.000,0.000
9,0,133.000,133.000,133.000,145,268,0.000,0.000
10,0,133.000,133.000,133.000,241,222,0.000,0.000
11,0,133.000,133.000,133.000,137,211,0.000,0.000
12,0,133.000,133.000,133.000,147,208,0.000,0.000
13,0,134.000,134.000,134.000,280,763,0.000,0.000
14,0,134.000,134.000,134.000,204,221,0.000,0.000
15,0,137.000,137.000,137.000,65,305,0.000,0.000
16,0,137.000,137.000,137.000,168,223,0.000,0.000
17,0,137.000,137.000,137.000,204,195,0.000,0.000
18,0,137.000,137.000,137.000,179,163,0.000,0.000
19,0,137.000,137.000,137.000,106,125,0.000,0.000
20,0,138.000,138.000,138.000,145,102,0.000,0.000
21,0,139.000,139.000,139.000,174,269,0.000,0.000
22,0,139.000,139.000,139.000,63,192,0.000,0.000
23,0,140.000,140.000,140.000,138,253,0.000,0.000
24,0,140.000,140.000,140.000,159,200,0.000,0.000
25,0,140.000,140.000,140.000,264,191,0.000,0.000
26,0,141.000,141.000,141.000,152,203,0.000,0.000
27,0,142.000,142.000,142.000,126,282,0.000,0.000
28,0,142.000,142.000,142.000,106,50,0.000,0.000
29,0,143.000,143.000,143.000,247,208,0.000,0.000
30,0,143.000,143.000,143.000,93,157,0.000,0.000
31,0,143.000,143.000,143.000,263,119,0.000,0.000
32,0,143.000,143.000,143.000,182,118,0.000,0.000
33,0,143.000,143.000,143.000,175,92,0.000,0.000
34,0,144.000,144.000,144.000,196,135,0.000,0.000
35,0,144.000,144.000,144.000,145,121,0.000,0.000
36,0,144.000,144.000,144.000,123,118,0.000,0.000
37,0,144.000,144.000,144.000,133,112,0.000,0.000
38,0,144.000,144.000,144.000,51,56,0.000,0.000
39,0,145.000,145.000,145.000,79,273,0.000,0.000
40,0,145.000,145.000,145.000,147,154,0.000,0.000
41,0,145.000,145.000,145.000,73,114,0.000,0.000
42,0,146.000,146.000,146.000,31,219,0.000,0.000
43,0,146.000,146.000,146.000,21,143,0.000,0.000
44,0,146.000,146.000,146.000,33,133,0.000,0.000
45,0,146.000,146.000,146.000,87,120,0.000,0.000
46,0,146.000,146.000,146.000,99,91,0.000,0.000
47,0,146.000,146.000,146.000,218,87,0.000,0.000
48,0,147.000,147.000,147.000,204,155,0.000,0.000
49,0,147.000,147.000,147.000,56,114,0.000,0.000
50,0,147.000,147.000,147.000,151,100,0.000,0.000
51,0,147.000,147.000,147.000,109,72,0.000,0.000
52,0,148.000,148.000,148.000,130,129,0.000,0.000
53,0,149.000,149.000,149.000,83,90,0.000,0.000
54,0,150.000,150.000,150.000,242,99,0.000,0.000
55,0,150.000,150.000,150.000,151,78,0.000,0.000
56,0,150.000,150.000,150.000,111,51,0.000,0.000
57,0,150.000,150.000,150.000,78,39,0.000,0.000
58,0,151.000,151.000,151.000,264,92,0.000,0.000
59,0,152.000,152.000,152.000,268,125,0.000,0.000
60,0,152.000,152.000,152.000,69,70,0.000,0.000
61,0,153.000,153.000,153.000,207,122,0.000,0.000
62,0,153.000,153.000,153.000,249,94,0.000,0.000
63,0,154.000,154.000,154.000,78,60,0.000,0.000
64,0,154.000,154.000,154.000,193,56,0.000,0.000
