 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,112.000,112.000,112.000,100,345,0.000,0.000
2,0,113.000,113.000,113.000,84,557,0.000,0.000
3,0,115.000,115.000,115.000,101,511,0.000,0.000
4,0,116.000,116.000,116.000,68,723,0.000,0.000
5,0,116.000,116.000,116.000,88,702,0.000,0.000
6,0,121.000,121.000,121.000,247,688,0.000,0.000
7,0,121.000,121.000,121.000,95,664,0.000,0.000
8,0,122.000,122.000,122.000,80,568,0.000,0.000
9,0,124.000,124.000,124.000,109,758,0.000,0.000
10,0,124.000,124.000,124.000,125,296,0.000,0.000
11,0,126.000,126.000,126.000,251,307,0.000,0.000
12,0,128.000,128.000,128.000,95,396,0.000,0.000
13,0,128.000,128.000,128.000,129,314,0.000,0.000
14,0,130.000,130.000,130.000,129,286,0.000,0.000
15,0,130.000,130.000,130.000,229,251,0.000,0.000
16,0,132.000,132.000,132.000,58,278,0.000,0.000
17,0,133.000,133.000,133.000,96,203,0.000,0.000
18,0,136.000,136.000,136.000,96,289,0.000,0.000
19,0,137.000,137.000,137.000,67,253,0.000,0.000
