 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,119.000,119.000,119.000,228,260,0.000,0.000
2,0,122.000,122.000,122.000,203,242,0.000,0.000
3,0,124.000,124.000,124.000,112,337,0.000,0.000
4,0,125.000,125.000,125.000,144,212,0.000,0.000
5,0,125.000,125.000,125.000,223,179,0.000,0.000
6,0,126.000,126.000,126.000,95,293,0.000,0.000
7,0,126.000,126.000,126.000,142,181,0.000,0.000
8,0,127.000,127.000,127.000,42,307,0.000,0.000
9,0,127.000,127.000,127.000,249,190,0.000,0.000
10,0,127.000,127.000,127.000,62,141,0.000,0.000
11,0,128.000,128.000,128.000,54,368,0.000,0.000
12,0,128.000,128.000,128.000,210,302,0.000,0.000
13,0,128.000,128.000,128.000,137,174,0.000,0.000
14,0,129.000,129.000,129.000,259,249,0.000,0.000
15,0,129.000,129.000,129.000,124,233,0.000,0.000
16,0,129.000,129.000,129.000,54,135,0.000,0.000
17,0,130.000,130.000,130.000,200,224,0.000,0.000
18,0,130.000,130.000,130.000,141,155,0.000,0.000
19,0,130.000,130.000,130.000,129,111,0.000,0.000
20,0,131.000,131.000,131.000,282,754,0.000,0.000
21,0,133.000,133.000,133.000,223,111,0.000,0.000
22,0,134.000,134.000,134.000,264,264,0.000,0.000
23,0,134.000,134.000,134.000,31,176,0.000,0.000
24,0,134.000,134.000,134.000,240,160,0.000,0.000
25,0,134.000,134.000,134.000,276,148,0.000,0.000
26,0,134.000,134.000,134.000,117,144,0.000,0.000
27,0,135.000,135.000,135.000,118,271,0.000,0.000
28,0,135.000,135.000,135.000,228,157,0.000,0.000
29,0,135.000,135.000,135.000,35,119,0.000,0.000
30,0,136.000,136.000,136.000,176,192,0.000,0.000
31,0,136.000,136.000,136.000,108,163,0.000,0.000
32,0,136.000,136.000,136.000,44,129,0.000,0.000
33,0,137.000,137.000,137.000,32,191,0.000,0.000
34,0,137.000,137.000,137.000,206,170,0.000,0.000
35,0,137.000,137.000,137.000,208,114,0.000,0.000
36,0,138.000,138.000,138.000,115,113,0.000,0.000
37,0,138.000,138.000,138.000,185,109,0.000,0.000
38,0,138.000,138.000,138.000,51,90,0.000,0.000
39,0,139.000,139.000,139.000,166,191,0.000,0.000
40,0,139.000,139.000,139.000,44,171,0.000,0.000
41,0,139.000,139.000,139.000,79,161,0.000,0.000
42,0,139.000,139.000,139.000,29,119,0.000,0.000
43,0,139.000,139.000,139.000,170,113,0.000,0.000
44,0,139.000,139.000,139.000,95,54,0.000,0.000
45,0,140.000,140.000,140.000,111,170,0.000,0.000
46,0,140.000,140.000,140.000,239,169,0.000,0.000
47,0,140.000,140.000,140.000,99,147,0.000,0.000
48,0,141.000,141.000,141.000,38,102,0.000,0.000
49,0,142.000,142.000,142.000,216,142,0.000,0.000
50,0,144.000,144.000,144.000,85,124,0.000,0.000
51,0,144.000,144.000,144.000,124,53,0.000,0.000
52,0,145.000,145.000,145.000,236,136,0.000,0.000
53,0,145.000,145.000,145.000,145,85,0.000,0.000
54,0,146.000,146.000,146.000,116,178,0.000,0.000
55,0,146.000,146.000,146.000,211,61,0.000,0.000
56,0,147.000,147.000,147.000,77,127,0.000,0.000
57,0,147.000,147.000,147.000,27,74,0.000,0.000
58,0,149.000,149.000,149.000,121,58,0.000,0.000
59,0,153.000,153.000,153.000,217,89,0.000,0.000
