 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,110.000,110.000,110.000,122,623,0.000,0.000
2,0,121.000,121.000,121.000,200,263,0.000,0.000
3,0,124.000,124.000,124.000,268,203,0.000,0.000
4,0,125.000,125.000,125.000,120,355,0.000,0.000
5,0,125.000,125.000,125.000,171,198,0.000,0.000
6,0,125.000,125.000,125.000,185,186,0.000,0.000
7,0,126.000,126.000,126.000,106,369,0.000,0.000
8,0,126.000,126.000,126.000,146,265,0.000,0.000
9,0,127.000,127.000,127.000,74,173,0.000,0.000
10,0,128.000,128.000,128.000,36,126,0.000,0.000
11,0,129.000,129.000,129.000,102,220,0.000,0.000
12,0,129.000,129.000,129.000,104,128,0.000,0.000
13,0,130.000,130.000,130.000,266,159,0.000,0.000
14,0,130.000,130.000,130.000,84,142,0.000,0.000
15,0,130.000,130.000,130.000,188,129,0.000,0.000
16,0,131.000,131.000,131.000,21,243,0.000,0.000
17,0,132.000,132.000,132.000,167,376,0.000,0.000
18,0,133.000,133.000,133.000,206,272,0.000,0.000
19,0,133.000,133.000,133.000,87,207,0.000,0.000
20,0,133.000,133.000,133.000,198,170,0.000,0.000
21,0,133.000,133.000,133.000,36,155,0.000,0.000
22,0,134.000,134.000,134.000,109,275,0.000,0.000
23,0,134.000,134.000,134.000,252,227,0.000,0.000
24,0,134.000,134.000,134.000,125,131,0.000,0.000
25,0,134.000,134.000,134.000,70,128,0.000,0.000
26,0,134.000,134.000,134.000,70,112,0.000,0.000
27,0,134.000,134.000,134.000,129,75,0.000,0.000
28,0,135.000,135.000,135.000,186,226,0.000,0.000
29,0,135.000,135.000,135.000,168,224,0.000,0.000
30,0,135.000,135.000,135.000,68,195,0.000,0.000
31,0,135.000,135.000,135.000,113,171,0.000,0.000
32,0,135.000,135.000,135.000,93,110,0.000,0.000
33,0,135.000,135.000,135.000,124,103,0.000,0.000
34,0,136.000,136.000,136.000,184,193,0.000,0.000
35,0,136.000,136.000,136.000,74,142,0.000,0.000
36,0,137.000,137.000,137.000,24,175,0.000,0.000
37,0,137.000,137.000,137.000,82,167,0.000,0.000
38,0,137.000,137.000,137.000,214,132,0.000,0.000
39,0,138.000,138.000,138.000,52,180,0.000,0.000
40,0,138.000,138.000,138.000,162,47,0.000,0.000
41,0,139.000,139.000,139.000,94,190,0.000,0.000
42,0,140.000,140.000,140.000,211,152,0.000,0.000
43,0,141.000,141.000,141.000,158,121,0.000,0.000
44,0,142.000,142.000,142.000,52,105,0.000,0.000
45,0,142.000,142.000,142.000,280,86,0.000,0.000
46,0,143.000,143.000,143.000,17,186,0.000,0.000
47,0,144.000,144.000,144.000,105,38,0.000,0.000
48,0,146.000,146.000,146.000,225,80,0.000,0.000
49,0,146.000,146.000,146.000,136,53,0.000,0.000
50,0,150.000,150.000,150.000,168,91,0.000,0.000
51,0,150.000,150.000,150.000,149,84,0.000,0.000
52,0,154.000,154.000,154.000,149,10,0.000,0.000
