 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,126.000,126.000,126.000,191,248,0.000,0.000
2,0,129.000,129.000,129.000,224,248,0.000,0.000
3,0,132.000,132.000,132.000,192,159,0.000,0.000
4,0,133.000,133.000,133.000,233,165,0.000,0.000
5,0,135.000,135.000,135.000,274,762,0.000,0.000
6,0,137.000,137.000,137.000,98,122,0.000,0.000
7,0,139.000,139.000,139.000,216,85,0.000,0.000
8,0,141.000,141.000,141.000,6,222,0.000,0.000
9,0,141.000,141.000,141.000,82,161,0.000,0.000
10,0,141.000,141.000,141.000,225,114,0.000,0.000
11,0,142.000,142.000,142.000,72,115,0.000,0.000
12,0,143.000,143.000,143.000,27,115,0.000,0.000
13,0,144.000,144.000,144.000,133,126,0.000,0.000
14,0,144.000,144.000,144.000,268,109,0.000,0.000
15,0,144.000,144.000,144.000,222,81,0.000,0.000
16,0,145.000,145.000,145.000,223,133,0.000,0.000
17,0,145.000,145.000,145.000,126,124,0.000,0.000
18,0,145.000,145.000,145.000,225,120,0.000,0.000
19,0,145.000,145.000,145.000,165,120,0.000,0.000
20,0,145.000,145.000,145.000,223,93,0.000,0.000
21,0,146.000,146.000,146.000,23,211,0.000,0.000
22,0,146.000,146.000,146.000,100,116,0.000,0.000
23,0,147.000,147.000,147.000,44,162,0.000,0.000
24,0,147.000,147.000,147.000,70,138,0.000,0.000
25,0,147.000,147.000,147.000,138,67,0.000,0.000
26,0,150.000,150.000,150.000,18,81,0.000,0.000
27,0,150.000,150.000,150.000,178,74,0.000,0.000
28,0,151.000,151.000,151.000,193,52,0.000,0.000
29,0,152.000,152.000,152.000,4,68,0.000,0.000
30,0,153.000,153.000,153.000,48,82,0.000,0.000
31,0,153.000,153.000,153.000,97,81,0.000,0.000
32,0,153.000,153.000,153.000,107,37,0.000,0.000
