,X,Y,condition,genotype,sex,replicate
33,217,0.9272959183673469,cont,mhc,m,6
34,119,0.8813775510204082,cont,mhc,m,6
35,178,0.9005102040816326,cont,mhc,m,6
36,252,0.8482142857142857,cont,mhc,m,6
37,25,0.8864795918367347,cont,mhc,m,6
38,132,0.6772959183673469,cont,mhc,m,6
39,30,0.7181122448979591,cont,mhc,m,6
40,188,0.8380102040816326,cont,mhc,m,6
41,93,0.8737244897959184,cont,mhc,m,6
42,37,0.8431122448979592,cont,mhc,m,6
43,262,0.8456632653061225,cont,mhc,m,6
44,67,0.846938775510204,cont,mhc,m,6
45,31,0.8979591836734694,cont,mhc,m,6
46,230,0.8992346938775511,cont,mhc,m,6
47,85,0.8992346938775511,cont,mhc,m,6
48,73,0.9132653061224489,cont,mhc,m,6
49,39,0.9323979591836735,cont,mhc,m,6
50,179,0.7767857142857143,cont,mhc,m,6
51,45,0.8125,cont,mhc,m,6
52,44,0.8239795918367347,cont,mhc,m,6
53,195,0.8303571428571428,cont,mhc,m,6
54,66,0.8647959183673469,cont,mhc,m,6
55,34,0.8877551020408163,cont,mhc,m,6
56,242,0.8125,cont,mhc,m,6
57,132,0.8698979591836735,cont,mhc,m,6
58,45,0.8979591836734694,cont,mhc,m,6
59,147,0.9056122448979592,cont,mhc,m,6
60,79,0.9336734693877551,cont,mhc,m,6
61,255,0.8035714285714286,cont,mhc,m,6
62,48,0.8392857142857143,cont,mhc,m,6
63,34,0.9158163265306123,cont,mhc,m,6
64,138,0.9451530612244898,cont,mhc,m,6
65,259,0.8762755102040817,cont,mhc,m,6
66,183,0.8839285714285714,cont,mhc,m,6
67,57,0.9132653061224489,cont,mhc,m,6
68,247,0.8941326530612245,cont,mhc,m,6
69,237,0.923469387755102,cont,mhc,m,6
0,198,0.235969387755102,expt,mhc,f,1
1,220,0.5395408163265306,expt,mhc,f,1
2,210,0.27933673469387754,expt,mhc,f,1
3,196,0.022959183673469385,expt,mhc,f,1
4,200,0.590561224489796,expt,mhc,f,1
5,238,0.5982142857142857,expt,mhc,f,1
6,244,0.5382653061224489,expt,mhc,f,1
7,187,0.5140306122448979,expt,mhc,f,1
8,174,0.3852040816326531,expt,mhc,f,1
9,180,0.19387755102040816,expt,mhc,f,1
10,202,0.42219387755102045,expt,mhc,f,1
11,182,0.6211734693877551,expt,mhc,f,1
12,182,0.10586734693877553,expt,mhc,f,1
13,125,0.11224489795918369,expt,mhc,f,1
14,213,0.6058673469387755,expt,mhc,f,1
15,203,0.6122448979591837,expt,mhc,f,1
16,221,0.7525510204081632,expt,mhc,f,1
17,237,0.6186224489795918,expt,mhc,f,1
18,200,0.6224489795918368,expt,mhc,f,1
19,198,0.5650510204081632,expt,mhc,f,1
20,209,0.5561224489795918,expt,mhc,f,1
21,252,0.6913265306122449,expt,mhc,f,1
22,50,0.6173469387755102,expt,mhc,f,1
23,240,0.7181122448979591,expt,mhc,f,1
24,198,0.9081632653061225,expt,mhc,f,1
25,22,0.8099489795918368,expt,mhc,f,1
0,165,0.5,expt,mhc,f,3
1,162,0.2806122448979592,expt,mhc,f,3
2,164,0.11989795918367352,expt,mhc,f,3
3,165,0.18622448979591832,expt,mhc,f,3
4,161,0.5063775510204082,expt,mhc,f,3
5,152,0.2602040816326531,expt,mhc,f,3
6,34,0.34183673469387754,expt,mhc,f,3
7,40,0.13010204081632648,expt,mhc,f,3
8,163,0.4783163265306123,expt,mhc,f,3
9,161,0.6237244897959184,expt,mhc,f,3
10,147,0.7295918367346939,expt,mhc,f,3
11,149,0.5510204081632653,expt,mhc,f,3
12,198,0.6237244897959184,expt,mhc,f,3
13,50,0.6428571428571428,expt,mhc,f,3
14,162,0.6556122448979591,expt,mhc,f,3
15,178,0.7525510204081632,expt,mhc,f,3
16,148,0.6275510204081632,expt,mhc,f,3
17,213,0.6683673469387755,expt,mhc,f,3
18,20,0.653061224489796,expt,mhc,f,3
0,150,0.24872448979591832,expt,mhc,f,2
1,123,0.30102040816326525,expt,mhc,f,2
2,136,0.21683673469387754,expt,mhc,f,2
3,144,0.2142857142857143,expt,mhc,f,2
4,138,0.39413265306122447,expt,mhc,f,2
5,257,0.2321428571428571,expt,mhc,f,2
6,134,0.389030612244898,expt,mhc,f,2
7,61,0.10204081632653061,expt,mhc,f,2
8,84,0.3137755102040817,expt,mhc,f,2
9,43,0.2232142857142857,expt,mhc,f,2
10,138,0.6211734693877551,expt,mhc,f,2
11,153,0.7117346938775511,expt,mhc,f,2
12,159,0.3647959183673469,expt,mhc,f,2
13,229,0.4961734693877551,expt,mhc,f,2
14,139,0.7410714285714286,expt,mhc,f,2
15,173,0.5688775510204082,expt,mhc,f,2
16,201,0.7818877551020408,expt,mhc,f,2
17,220,0.7142857142857143,expt,mhc,f,2
18,57,0.8188775510204082,expt,mhc,f,2
19,102,0.8112244897959184,expt,mhc,f,2
0,142,0.2512755102040817,expt,mhc,f,5
1,136,0.21683673469387754,expt,mhc,f,5
2,154,0.22193877551020413,expt,mhc,f,5
3,170,0.3431122448979592,expt,mhc,f,5
4,152,0.5714285714285714,expt,mhc,f,5
5,142,0.28826530612244894,expt,mhc,f,5
6,120,0.09948979591836737,expt,mhc,f,5
7,162,0.2627551020408163,expt,mhc,f,5
8,152,0.3112244897959183,expt,mhc,f,5
9,146,0.08418367346938771,expt,mhc,f,5
10,154,0.24489795918367352,expt,mhc,f,5
11,153,0.34056122448979587,expt,mhc,f,5
12,169,0.3647959183673469,expt,mhc,f,5
13,162,0.5191326530612245,expt,mhc,f,5
14,140,0.5369897959183674,expt,mhc,f,5
15,141,0.1377551020408163,expt,mhc,f,5
16,157,0.05994897959183676,expt,mhc,f,5
17,191,0.3622448979591837,expt,mhc,f,5
18,162,0.5918367346938775,expt,mhc,f,5
19,45,0.0982142857142857,expt,mhc,f,5
20,160,0.4323979591836735,expt,mhc,f,5
21,155,0.5561224489795918,expt,mhc,f,5
22,161,0.6556122448979591,expt,mhc,f,5
23,253,0.6607142857142857,expt,mhc,f,5
24,157,0.7257653061224489,expt,mhc,f,5
25,165,0.6670918367346939,expt,mhc,f,5
26,35,0.6071428571428572,expt,mhc,f,5
27,289,0.8086734693877551,expt,mhc,f,5
28,80,0.8954081632653061,expt,mhc,f,5
0,100,0.5599489795918368,expt,mhc,f,4
1,84,0.2895408163265306,expt,mhc,f,4
2,101,0.3482142857142857,expt,mhc,f,4
3,68,0.07780612244897955,expt,mhc,f,4
4,88,0.10459183673469385,expt,mhc,f,4
5,247,0.12244897959183676,expt,mhc,f,4
6,95,0.15306122448979587,expt,mhc,f,4
7,80,0.2755102040816326,expt,mhc,f,4
8,109,0.03316326530612246,expt,mhc,f,4
9,125,0.6224489795918368,expt,mhc,f,4
10,251,0.6084183673469388,expt,mhc,f,4
11,95,0.4948979591836735,expt,mhc,f,4
12,129,0.5994897959183674,expt,mhc,f,4
13,129,0.6352040816326531,expt,mhc,f,4
14,229,0.6798469387755102,expt,mhc,f,4
15,58,0.6454081632653061,expt,mhc,f,4
16,96,0.7410714285714286,expt,mhc,f,4
17,96,0.6313775510204082,expt,mhc,f,4
18,67,0.6772959183673469,expt,mhc,f,4
