 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,112.000,112.000,112.000,150,589,0.000,0.000
2,0,112.000,112.000,112.000,123,548,0.000,0.000
3,0,113.000,113.000,113.000,136,614,0.000,0.000
4,0,115.000,115.000,115.000,144,616,0.000,0.000
5,0,116.000,116.000,116.000,138,475,0.000,0.000
6,0,120.000,120.000,120.000,257,602,0.000,0.000
7,0,121.000,121.000,121.000,134,479,0.000,0.000
8,0,125.000,125.000,125.000,61,704,0.000,0.000
9,0,125.000,125.000,125.000,84,538,0.000,0.000
10,0,126.000,126.000,126.000,43,609,0.000,0.000
11,0,128.000,128.000,128.000,138,297,0.000,0.000
12,0,128.000,128.000,128.000,153,226,0.000,0.000
13,0,129.000,129.000,129.000,159,498,0.000,0.000
14,0,129.000,129.000,129.000,229,395,0.000,0.000
15,0,129.000,129.000,129.000,139,203,0.000,0.000
16,0,132.000,132.000,132.000,173,338,0.000,0.000
17,0,134.000,134.000,134.000,201,171,0.000,0.000
18,0,136.000,136.000,136.000,220,224,0.000,0.000
19,0,143.000,143.000,143.000,57,142,0.000,0.000
20,0,144.000,144.000,144.000,102,148,0.000,0.000
