 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,121.000,121.000,121.000,151,271,0.000,0.000
2,0,121.000,121.000,121.000,193,240,0.000,0.000
3,0,123.000,123.000,123.000,236,271,0.000,0.000
4,0,124.000,124.000,124.000,71,183,0.000,0.000
5,0,125.000,125.000,125.000,131,184,0.000,0.000
6,0,126.000,126.000,126.000,212,167,0.000,0.000
7,0,127.000,127.000,127.000,134,241,0.000,0.000
8,0,127.000,127.000,127.000,223,188,0.000,0.000
9,0,129.000,129.000,129.000,168,242,0.000,0.000
10,0,129.000,129.000,129.000,109,168,0.000,0.000
11,0,130.000,130.000,130.000,258,147,0.000,0.000
12,0,131.000,131.000,131.000,284,762,0.000,0.000
13,0,131.000,131.000,131.000,136,215,0.000,0.000
14,0,131.000,131.000,131.000,124,179,0.000,0.000
15,0,132.000,132.000,132.000,142,185,0.000,0.000
16,0,133.000,133.000,133.000,130,166,0.000,0.000
17,0,133.000,133.000,133.000,76,86,0.000,0.000
18,0,134.000,134.000,134.000,243,275,0.000,0.000
19,0,134.000,134.000,134.000,143,132,0.000,0.000
20,0,134.000,134.000,134.000,26,126,0.000,0.000
21,0,135.000,135.000,135.000,139,268,0.000,0.000
22,0,135.000,135.000,135.000,135,223,0.000,0.000
23,0,135.000,135.000,135.000,175,109,0.000,0.000
24,0,135.000,135.000,135.000,123,106,0.000,0.000
25,0,136.000,136.000,136.000,121,187,0.000,0.000
26,0,136.000,136.000,136.000,155,158,0.000,0.000
27,0,137.000,137.000,137.000,54,248,0.000,0.000
28,0,137.000,137.000,137.000,39,243,0.000,0.000
29,0,137.000,137.000,137.000,209,143,0.000,0.000
30,0,137.000,137.000,137.000,73,106,0.000,0.000
31,0,138.000,138.000,138.000,253,171,0.000,0.000
32,0,138.000,138.000,138.000,268,115,0.000,0.000
33,0,139.000,139.000,139.000,85,121,0.000,0.000
34,0,139.000,139.000,139.000,252,83,0.000,0.000
35,0,139.000,139.000,139.000,41,65,0.000,0.000
36,0,140.000,140.000,140.000,123,96,0.000,0.000
37,0,141.000,141.000,141.000,255,54,0.000,0.000
38,0,142.000,142.000,142.000,43,104,0.000,0.000
39,0,142.000,142.000,142.000,147,68,0.000,0.000
40,0,143.000,143.000,143.000,131,146,0.000,0.000
41,0,143.000,143.000,143.000,59,115,0.000,0.000
42,0,143.000,143.000,143.000,133,55,0.000,0.000
43,0,144.000,144.000,144.000,99,107,0.000,0.000
44,0,144.000,144.000,144.000,186,45,0.000,0.000
45,0,145.000,145.000,145.000,82,108,0.000,0.000
46,0,145.000,145.000,145.000,204,106,0.000,0.000
47,0,146.000,146.000,146.000,148,137,0.000,0.000
48,0,147.000,147.000,147.000,59,91,0.000,0.000
49,0,148.000,148.000,148.000,264,134,0.000,0.000
50,0,148.000,148.000,148.000,26,77,0.000,0.000
51,0,148.000,148.000,148.000,221,29,0.000,0.000
52,0,150.000,150.000,150.000,114,45,0.000,0.000
53,0,152.000,152.000,152.000,233,151,0.000,0.000
54,0,152.000,152.000,152.000,246,104,0.000,0.000
55,0,153.000,153.000,153.000,257,73,0.000,0.000
56,0,156.000,156.000,156.000,184,34,0.000,0.000
