 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,113.000,113.000,113.000,144,573,0.000,0.000
2,0,118.000,118.000,118.000,133,582,0.000,0.000
3,0,119.000,119.000,119.000,188,594,0.000,0.000
4,0,121.000,121.000,121.000,124,550,0.000,0.000
5,0,122.000,122.000,122.000,17,637,0.000,0.000
6,0,122.000,122.000,122.000,243,398,0.000,0.000
7,0,123.000,123.000,123.000,33,770,0.000,0.000
8,0,124.000,124.000,124.000,149,690,0.000,0.000
9,0,127.000,127.000,127.000,112,418,0.000,0.000
10,0,128.000,128.000,128.000,235,331,0.000,0.000
11,0,130.000,130.000,130.000,148,284,0.000,0.000
12,0,131.000,131.000,131.000,150,297,0.000,0.000
13,0,135.000,135.000,135.000,124,183,0.000,0.000
14,0,136.000,136.000,136.000,164,270,0.000,0.000
15,0,136.000,136.000,136.000,159,225,0.000,0.000
16,0,138.000,138.000,138.000,32,321,0.000,0.000
17,0,138.000,138.000,138.000,160,272,0.000,0.000
18,0,138.000,138.000,138.000,181,238,0.000,0.000
19,0,139.000,139.000,139.000,142,294,0.000,0.000
20,0,139.000,139.000,139.000,37,214,0.000,0.000
21,0,140.000,140.000,140.000,196,143,0.000,0.000
22,0,144.000,144.000,144.000,20,253,0.000,0.000
23,0,144.000,144.000,144.000,153,191,0.000,0.000
24,0,148.000,148.000,148.000,61,188,0.000,0.000
