 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,133.000,133.000,133.000,212,295,0.000,0.000
2,0,135.000,135.000,135.000,281,765,0.000,0.000
3,0,136.000,136.000,136.000,239,196,0.000,0.000
4,0,137.000,137.000,137.000,247,189,0.000,0.000
5,0,140.000,140.000,140.000,90,120,0.000,0.000
6,0,140.000,140.000,140.000,262,114,0.000,0.000
7,0,140.000,140.000,140.000,200,88,0.000,0.000
8,0,141.000,141.000,141.000,200,206,0.000,0.000
9,0,141.000,141.000,141.000,37,202,0.000,0.000
10,0,142.000,142.000,142.000,81,154,0.000,0.000
11,0,142.000,142.000,142.000,144,120,0.000,0.000
12,0,143.000,143.000,143.000,259,108,0.000,0.000
13,0,144.000,144.000,144.000,32,101,0.000,0.000
14,0,145.000,145.000,145.000,19,113,0.000,0.000
15,0,146.000,146.000,146.000,247,167,0.000,0.000
16,0,146.000,146.000,146.000,225,143,0.000,0.000
17,0,146.000,146.000,146.000,219,139,0.000,0.000
18,0,146.000,146.000,146.000,172,92,0.000,0.000
19,0,147.000,147.000,147.000,61,125,0.000,0.000
20,0,147.000,147.000,147.000,27,119,0.000,0.000
21,0,147.000,147.000,147.000,46,109,0.000,0.000
22,0,147.000,147.000,147.000,263,86,0.000,0.000
23,0,147.000,147.000,147.000,118,73,0.000,0.000
24,0,147.000,147.000,147.000,187,57,0.000,0.000
25,0,147.000,147.000,147.000,152,47,0.000,0.000
26,0,148.000,148.000,148.000,143,135,0.000,0.000
27,0,149.000,149.000,149.000,266,105,0.000,0.000
28,0,149.000,149.000,149.000,19,95,0.000,0.000
29,0,149.000,149.000,149.000,176,46,0.000,0.000
30,0,150.000,150.000,150.000,182,103,0.000,0.000
31,0,150.000,150.000,150.000,26,70,0.000,0.000
32,0,152.000,152.000,152.000,162,78,0.000,0.000
33,0,152.000,152.000,152.000,168,69,0.000,0.000
34,0,152.000,152.000,152.000,33,65,0.000,0.000
35,0,153.000,153.000,153.000,51,57,0.000,0.000
36,0,156.000,156.000,156.000,133,83,0.000,0.000
