 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,120.000,120.000,120.000,206,277,0.000,0.000
2,0,123.000,123.000,123.000,228,231,0.000,0.000
3,0,126.000,126.000,126.000,276,661,0.000,0.000
4,0,128.000,128.000,128.000,88,354,0.000,0.000
5,0,128.000,128.000,128.000,46,170,0.000,0.000
6,0,129.000,129.000,129.000,271,192,0.000,0.000
7,0,129.000,129.000,129.000,205,72,0.000,0.000
8,0,133.000,133.000,133.000,237,356,0.000,0.000
9,0,134.000,134.000,134.000,231,166,0.000,0.000
10,0,134.000,134.000,134.000,192,164,0.000,0.000
11,0,135.000,135.000,135.000,133,332,0.000,0.000
12,0,135.000,135.000,135.000,103,140,0.000,0.000
13,0,138.000,138.000,138.000,133,251,0.000,0.000
14,0,138.000,138.000,138.000,167,114,0.000,0.000
15,0,139.000,139.000,139.000,123,204,0.000,0.000
16,0,139.000,139.000,139.000,126,127,0.000,0.000
17,0,139.000,139.000,139.000,174,118,0.000,0.000
18,0,141.000,141.000,141.000,207,226,0.000,0.000
19,0,141.000,141.000,141.000,66,176,0.000,0.000
20,0,141.000,141.000,141.000,239,137,0.000,0.000
21,0,141.000,141.000,141.000,248,125,0.000,0.000
22,0,141.000,141.000,141.000,232,119,0.000,0.000
23,0,141.000,141.000,141.000,214,105,0.000,0.000
24,0,142.000,142.000,142.000,90,273,0.000,0.000
25,0,142.000,142.000,142.000,111,109,0.000,0.000
26,0,143.000,143.000,143.000,194,119,0.000,0.000
27,0,143.000,143.000,143.000,116,106,0.000,0.000
28,0,144.000,144.000,144.000,241,205,0.000,0.000
29,0,144.000,144.000,144.000,261,169,0.000,0.000
30,0,144.000,144.000,144.000,135,146,0.000,0.000
31,0,144.000,144.000,144.000,127,105,0.000,0.000
32,0,144.000,144.000,144.000,66,100,0.000,0.000
33,0,145.000,145.000,145.000,46,209,0.000,0.000
34,0,145.000,145.000,145.000,120,95,0.000,0.000
35,0,146.000,146.000,146.000,163,158,0.000,0.000
36,0,146.000,146.000,146.000,266,149,0.000,0.000
37,0,146.000,146.000,146.000,232,123,0.000,0.000
38,0,146.000,146.000,146.000,223,85,0.000,0.000
39,0,146.000,146.000,146.000,101,77,0.000,0.000
40,0,146.000,146.000,146.000,158,59,0.000,0.000
41,0,147.000,147.000,147.000,165,141,0.000,0.000
42,0,148.000,148.000,148.000,190,130,0.000,0.000
43,0,148.000,148.000,148.000,54,111,0.000,0.000
44,0,149.000,149.000,149.000,36,71,0.000,0.000
45,0,150.000,150.000,150.000,47,99,0.000,0.000
46,0,150.000,150.000,150.000,248,90,0.000,0.000
47,0,150.000,150.000,150.000,89,83,0.000,0.000
48,0,150.000,150.000,150.000,256,58,0.000,0.000
49,0,151.000,151.000,151.000,131,121,0.000,0.000
50,0,151.000,151.000,151.000,33,96,0.000,0.000
51,0,151.000,151.000,151.000,248,5,0.000,0.000
52,0,152.000,152.000,152.000,218,114,0.000,0.000
53,0,153.000,153.000,153.000,74,91,0.000,0.000
54,0,153.000,153.000,153.000,170,78,0.000,0.000
