 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,121.000,121.000,121.000,37,580,0.000,0.000
2,0,125.000,125.000,125.000,166,315,0.000,0.000
3,0,127.000,127.000,127.000,85,310,0.000,0.000
4,0,130.000,130.000,130.000,162,210,0.000,0.000
5,0,130.000,130.000,130.000,189,197,0.000,0.000
6,0,133.000,133.000,133.000,220,273,0.000,0.000
7,0,134.000,134.000,134.000,91,214,0.000,0.000
8,0,137.000,137.000,137.000,166,192,0.000,0.000
9,0,140.000,140.000,140.000,262,121,0.000,0.000
10,0,140.000,140.000,140.000,135,118,0.000,0.000
11,0,141.000,141.000,141.000,235,157,0.000,0.000
12,0,141.000,141.000,141.000,280,126,0.000,0.000
13,0,143.000,143.000,143.000,201,194,0.000,0.000
14,0,143.000,143.000,143.000,120,192,0.000,0.000
15,0,145.000,145.000,145.000,215,204,0.000,0.000
16,0,146.000,146.000,146.000,69,136,0.000,0.000
17,0,149.000,149.000,149.000,40,113,0.000,0.000
18,0,151.000,151.000,151.000,77,110,0.000,0.000
19,0,151.000,151.000,151.000,125,85,0.000,0.000
20,0,152.000,152.000,152.000,17,105,0.000,0.000
21,0,152.000,152.000,152.000,18,87,0.000,0.000
22,0,152.000,152.000,152.000,132,63,0.000,0.000
23,0,153.000,153.000,153.000,114,43,0.000,0.000
24,0,154.000,154.000,154.000,99,77,0.000,0.000
25,0,154.000,154.000,154.000,215,19,0.000,0.000
26,0,155.000,155.000,155.000,261,52,0.000,0.000
